Time_abs/ps, Signal/nA
  2850.000,     0.015511
  2850.050,     0.012760
  2850.100,     0.003305
  2850.150,    -0.001200
  2850.200,    -0.000106
  2850.250,     0.005018
  2850.300,     0.003954
  2850.350,     0.002228
  2850.400,    -0.002947
  2850.450,    -0.008703
  2850.500,    -0.007849
  2850.550,    -0.006673
  2850.600,    -0.000979
  2850.650,     0.000372
  2850.700,    -0.001289
  2850.750,    -0.003330
  2850.800,    -0.004829
  2850.850,    -0.002346
  2850.900,    -0.001731
  2850.950,    -0.001166
  2851.000,    -0.001629
  2851.050,     0.004636
  2851.100,     0.007357
  2851.150,     0.007686
  2851.200,     0.005564
  2851.250,     0.005080
  2851.300,     0.015377
  2851.350,     0.018506
  2851.400,     0.017508
  2851.450,     0.016828
  2851.500,     0.013420
  2851.550,     0.015344
  2851.600,     0.014017
  2851.650,     0.016723
  2851.700,     0.016219
  2851.750,     0.018029
  2851.800,     0.024026
  2851.850,     0.029529
  2851.900,     0.027771
  2851.950,     0.026974
  2852.000,     0.026540
  2852.050,     0.024077
  2852.100,     0.029977
  2852.150,     0.033133
  2852.200,     0.037585
  2852.250,     0.038278
  2852.300,     0.046010
  2852.350,     0.051194
  2852.400,     0.057654
  2852.450,     0.059971
  2852.500,     0.062096
  2852.550,     0.071351
  2852.600,     0.071910
  2852.650,     0.067827
  2852.700,     0.071867
  2852.750,     0.072787
  2852.800,     0.074622
  2852.850,     0.076928
  2852.900,     0.076586
  2852.950,     0.082024
  2853.000,     0.081344
  2853.050,     0.075523
  2853.100,     0.079145
  2853.150,     0.077516
  2853.200,     0.073943
  2853.250,     0.081669
  2853.300,     0.083195
  2853.350,     0.078827
  2853.400,     0.080671
  2853.450,     0.080506
  2853.500,     0.077408
  2853.550,     0.078226
  2853.600,     0.077763
  2853.650,     0.073259
  2853.700,     0.069871
  2853.750,     0.073437
  2853.800,     0.066665
  2853.850,     0.061321
  2853.900,     0.070616
  2853.950,     0.072841
  2854.000,     0.069390
  2854.050,     0.064455
  2854.100,     0.061940
  2854.150,     0.057839
  2854.200,     0.060392
  2854.250,     0.052905
  2854.300,     0.042365
  2854.350,     0.040269
  2854.400,     0.046101
  2854.450,     0.044087
  2854.500,     0.037042
  2854.550,     0.032499
  2854.600,     0.030605
  2854.650,     0.026842
  2854.700,     0.021537
  2854.750,     0.016619
  2854.800,     0.016566
  2854.850,     0.013949
  2854.900,     0.013320
  2854.950,     0.012842
  2855.000,     0.009275
  2855.050,     0.009453
  2855.100,     0.008758
  2855.150,     0.008137
  2855.200,     0.007561
  2855.250,     0.003383
  2855.300,     0.002775
  2855.350,     0.008943
  2855.400,     0.007554
  2855.450,     0.003065
  2855.500,     0.004917
  2855.550,     0.006494
  2855.600,     0.001165
  2855.650,    -0.001514
  2855.700,    -0.004214
  2855.750,    -0.003486
  2855.800,    -0.003548
  2855.850,    -0.007041
  2855.900,    -0.011906
  2855.950,    -0.023995
  2856.000,    -0.033226
  2856.050,    -0.045800
  2856.100,    -0.048928
  2856.150,    -0.053671
  2856.200,    -0.063110
  2856.250,    -0.071075
  2856.300,    -0.080737
  2856.350,    -0.096321
  2856.400,    -0.105237
  2856.450,    -0.112719
  2856.500,    -0.116359
  2856.550,    -0.131792
  2856.600,    -0.148265
  2856.650,    -0.157000
  2856.700,    -0.161679
  2856.750,    -0.175522
  2856.800,    -0.188553
  2856.850,    -0.188534
  2856.900,    -0.196380
  2856.950,    -0.206497
  2857.000,    -0.219872
  2857.050,    -0.225643
  2857.100,    -0.239470
  2857.150,    -0.242939
  2857.200,    -0.250755
  2857.250,    -0.257476
  2857.300,    -0.261824
  2857.350,    -0.266351
  2857.400,    -0.270968
  2857.450,    -0.280890
  2857.500,    -0.281737
  2857.550,    -0.286622
  2857.600,    -0.288809
  2857.650,    -0.297990
  2857.700,    -0.298502
  2857.750,    -0.299322
  2857.800,    -0.303188
  2857.850,    -0.308043
  2857.900,    -0.317038
  2857.950,    -0.320926
  2858.000,    -0.325212
  2858.050,    -0.329941
  2858.100,    -0.335954
  2858.150,    -0.338394
  2858.201,    -0.346841
  2858.251,    -0.354368
  2858.301,    -0.357363
  2858.351,    -0.357749
  2858.401,    -0.357987
  2858.451,    -0.366095
  2858.501,    -0.373442
  2858.551,    -0.364937
  2858.601,    -0.366096
  2858.651,    -0.375070
  2858.701,    -0.376271
  2858.751,    -0.376121
  2858.801,    -0.378925
  2858.851,    -0.378414
  2858.901,    -0.379797
  2858.951,    -0.376883
  2859.001,    -0.371142
  2859.051,    -0.369364
  2859.101,    -0.370600
  2859.151,    -0.370017
  2859.201,    -0.361294
  2859.251,    -0.356761
  2859.301,    -0.356014
  2859.351,    -0.344807
  2859.401,    -0.344589
  2859.451,    -0.340304
  2859.501,    -0.335723
  2859.551,    -0.328231
  2859.601,    -0.322457
  2859.651,    -0.318928
  2859.701,    -0.315864
  2859.751,    -0.312260
  2859.801,    -0.302682
  2859.851,    -0.296890
  2859.901,    -0.286908
  2859.951,    -0.280007
  2860.001,    -0.278578
  2860.051,    -0.269511
  2860.101,    -0.259646
  2860.151,    -0.260936
  2860.201,    -0.255850
  2860.251,    -0.251152
  2860.301,    -0.245458
  2860.351,    -0.238791
  2860.401,    -0.236681
  2860.451,    -0.229781
  2860.501,    -0.219129
  2860.551,    -0.215339
  2860.601,    -0.210543
  2860.651,    -0.202914
  2860.701,    -0.197192
  2860.751,    -0.195564
  2860.801,    -0.202357
  2860.851,    -0.203471
  2860.901,    -0.199519
  2860.951,    -0.205090
  2861.001,    -0.199205
  2861.051,    -0.198645
  2861.101,    -0.201211
  2861.151,    -0.202014
  2861.201,    -0.203639
  2861.251,    -0.204056
  2861.301,    -0.206165
  2861.351,    -0.209751
  2861.401,    -0.211725
  2861.451,    -0.214217
  2861.501,    -0.213940
  2861.551,    -0.218194
  2861.601,    -0.217543
  2861.651,    -0.225283
  2861.701,    -0.228603
  2861.751,    -0.229701
  2861.801,    -0.234851
  2861.851,    -0.242257
  2861.901,    -0.254154
  2861.951,    -0.260671
  2862.001,    -0.267470
  2862.051,    -0.274601
  2862.101,    -0.280348
  2862.151,    -0.288016
  2862.201,    -0.297596
  2862.251,    -0.308408
  2862.301,    -0.318135
  2862.351,    -0.326258
  2862.401,    -0.331367
  2862.451,    -0.337482
  2862.501,    -0.345336
  2862.551,    -0.353644
  2862.601,    -0.365016
  2862.651,    -0.370971
  2862.701,    -0.372541
  2862.751,    -0.382570
  2862.801,    -0.389463
  2862.851,    -0.396177
  2862.901,    -0.403017
  2862.951,    -0.405957
  2863.001,    -0.410445
  2863.051,    -0.418306
  2863.101,    -0.424670
  2863.151,    -0.431473
  2863.201,    -0.440868
  2863.251,    -0.452188
  2863.301,    -0.467044
  2863.351,    -0.473633
  2863.401,    -0.480370
  2863.451,    -0.497553
  2863.501,    -0.507027
  2863.551,    -0.516463
  2863.601,    -0.524112
  2863.651,    -0.540511
  2863.701,    -0.552911
  2863.751,    -0.557261
  2863.801,    -0.569681
  2863.851,    -0.586242
  2863.901,    -0.596042
  2863.951,    -0.607907
  2864.001,    -0.621345
  2864.051,    -0.628393
  2864.101,    -0.635213
  2864.151,    -0.650448
  2864.201,    -0.667959
  2864.251,    -0.679614
  2864.301,    -0.690615
  2864.351,    -0.699316
  2864.401,    -0.713821
  2864.451,    -0.722563
  2864.501,    -0.729029
  2864.551,    -0.735811
  2864.601,    -0.742307
  2864.651,    -0.756660
  2864.701,    -0.764823
  2864.751,    -0.780128
  2864.801,    -0.791531
  2864.851,    -0.797269
  2864.901,    -0.807834
  2864.951,    -0.813499
  2865.001,    -0.814105
  2865.051,    -0.824584
  2865.101,    -0.832409
  2865.151,    -0.836391
  2865.201,    -0.846747
  2865.251,    -0.850914
  2865.301,    -0.863727
  2865.351,    -0.867533
  2865.401,    -0.876924
  2865.451,    -0.881871
  2865.501,    -0.883009
  2865.551,    -0.892785
  2865.601,    -0.898886
  2865.651,    -0.902175
  2865.701,    -0.906752
  2865.751,    -0.899208
  2865.801,    -0.901874
  2865.851,    -0.908816
  2865.901,    -0.910257
  2865.951,    -0.912196
  2866.001,    -0.915056
  2866.051,    -0.914549
  2866.101,    -0.909034
  2866.151,    -0.909012
  2866.201,    -0.909426
  2866.251,    -0.904989
  2866.301,    -0.904198
  2866.351,    -0.907793
  2866.401,    -0.911595
  2866.451,    -0.913781
  2866.501,    -0.912620
  2866.551,    -0.907452
  2866.601,    -0.907650
  2866.651,    -0.913316
  2866.701,    -0.914883
  2866.751,    -0.912454
  2866.801,    -0.907194
  2866.851,    -0.900326
  2866.901,    -0.902238
  2866.951,    -0.900272
  2867.001,    -0.907659
  2867.051,    -0.905713
  2867.101,    -0.901350
  2867.151,    -0.902167
  2867.201,    -0.898008
  2867.251,    -0.898094
  2867.301,    -0.893653
  2867.351,    -0.889631
  2867.401,    -0.889464
  2867.451,    -0.890729
  2867.501,    -0.886811
  2867.551,    -0.889365
  2867.601,    -0.893369
  2867.651,    -0.890611
  2867.701,    -0.890141
  2867.751,    -0.882439
  2867.801,    -0.879556
  2867.851,    -0.885157
